"","CobleA","CobleB","CobleC","CobleM","CobleT","Fpeak","Stedmon_D","Optical_Brighteners","dieselBandII","Petroleum","Lignin","BIX","HIX","FI","M_to_C"
"Group001Sample0001",0.0180127450377764,0.0258659197885202,0.0180216499794978,0.0179104259953153,0.00807289725414316,0.0156085227445944,0.00820962707869967,0.0154435607331439,0.00580147328939562,0.0207668857463424,0.019280515663284,0.851522458867849,3.22493379379081,1.60121854515653,1.00621001333031
"Group001Sample0002",0.0217779890372661,0.0357669908071983,0.0214781857661179,0.0235603620080421,0.027357683209391,0.0136729999149593,0.00979930957571774,0.0184667399318923,0.00685672701477479,0.0233136501417191,0.0252031900023489,0.813051119207313,1.83639260755008,1.72703823134728,0.911623758530814
"Group001Sample0003",0.0185667467424436,0.00697236206886437,0.0198515493604725,0.0181289654701957,0.00923175373749505,0.00420306480837479,0.0100484823011936,0.0175739750066273,0.00744751153975384,0.0225159100728275,0.0192387933909103,0.835275306942996,3.99957527109722,1.58570603085409,1.09501832264554
"Group001Sample0004",0.0218986530250635,0.0183577590517661,0.0225089100475142,0.0241414479661341,0.0170512099696572,0.00637556042868631,0.0114872800926501,0.0184964317204485,0.0078756665778708,0.0233897023133697,0.0295807887003784,0.855536496262181,2.88095155926522,1.62539142556445,0.932376139123468
"Group001Sample0005",0.0162950213265958,0.0165326824708265,0.0189041359240284,0.0164965785122467,0.0119881835880185,0.00443568904926355,0.0100312901110758,0.0169214264327403,0.00742789102954499,0.0204872519293217,0.00379859004387139,0.90303557882332,3.56141959712536,1.61005583307132,1.14594283353936
"Group002Sample0001",0.0161228982906686,0.031364875421925,0.0162258427030854,0.0169641681133507,0.0202677448138107,0.00926666700964814,0.00706028802665847,0.0137014807772813,0.0048924875389782,0.0178447871713697,0.0174944422181585,0.863665948699677,1.43007226789593,1.59124553854425,0.956477358315953
"Group002Sample0002",0.0245952599453614,0.0362539052934605,0.024080671424034,0.0296917690654005,0.0292890231717698,0.00981822782040703,0.0122181051751154,0.0181247545574264,0.00796576582693728,0.0263649027954512,0.03055833829574,0.787525468746203,2.06683370352819,1.53564194881607,0.811021780850874
"Group002Sample0003",0.0174094538356668,0.017443134335328,0.0175973518404722,0.0196227515495629,0.0154349918362081,0.0128469207287366,0.00995144516570951,0.0141889130706524,0.00650319708408336,0.0208853741171506,0.00944264245359754,0.836258249852987,2.38371187727732,1.49237622499615,0.896783093646425
"Group002Sample0004",0.0134702135899488,0.0138700290470495,0.0144750151409984,0.013043617540015,0.0151868934530205,0.00765747155736043,0.0086616615625651,0.0127726723625699,0.0062709342682829,0.0180087893121553,0.010579415563659,0.847072585551844,2.1023338853,1.52891212817049,1.10973931093826
"Group002Sample0005",0.010971794066781,0.0078644676819174,0.012252993811709,0.00959684141661409,0.00420853305778382,0.0130100731852023,0.00763845314011598,0.0109647749438191,0.00546021230790508,0.0155901340916448,0.0143614204977378,0.835408392606053,3.51414247707255,1.53171700676521,1.27677360495887
"Group003Sample0001",0.0231881872935915,0.0496368266731718,0.022424358803544,0.0271921499688332,0.0207922995007139,0.00841328906252832,0.00926763272943175,0.0175907389215083,0.00588921432401072,0.0224424444422739,0.0246169839218786,0.81302745089157,1.90425028586639,1.72451564850951,0.824662957112479
"Group003Sample0002",0.023371762411979,0.0104476437911996,0.0233935103941001,0.0249235950582375,0.0127563203622403,0.00880238008013514,0.0103726750893679,0.0189045814787339,0.00722983986742251,0.0234870696668063,0.018540911676175,0.828096574782745,4.11520250136108,1.61762550716582,0.938608990373895
"Group003Sample0003",0.020917954357004,0.0163030132750307,0.0220940648621401,0.0211050440181788,0.0237179306603333,0.00451439007415098,0.0110471010918715,0.0194589811402473,0.00853811634521722,0.0244346066460411,0.023386228206662,0.832890163557052,2.7234679332242,1.61588286198336,1.04686182332097
"Group003Sample0004",0.0227564139147946,0.0179111809967707,0.0244301923788347,0.0245606653694802,0.0168291521582097,0.0122116240828356,0.013700142389049,0.0207038475396931,0.0102701682841544,0.026991318048669,0.0275953526002592,0.873116140936711,4.18083626997619,1.62480019130152,0.994687725732068
"Group003Sample0005",0.0317517067961654,0.0391415802022262,0.0340499770420533,0.0379069201313404,0.0338962974395809,0.0173642135315343,0.0177809076332481,0.0255077781080169,0.0109895723345011,0.0356051810576941,0.0306981092501115,0.844401569596932,2.34399588020306,1.46036211922444,0.898252269614003
"Group004Sample0001",0.0155283162278111,0.0234102983319615,0.0158317305934212,0.0158040868424426,0.00953325818760917,0.00806184677851682,0.00703283643875161,0.0139650370882749,0.00482574753525139,0.0172232889352371,0.0196385243867428,0.824095852040631,2.84857229025723,1.69623220329577,1.00174915205504
"Group004Sample0002",0.0270135718973379,0.0183208574650335,0.0278784970720079,0.0289711791326478,0.0509316370800774,0.00856174979108856,0.0150794002576451,0.0236096586750863,0.011208808077421,0.0316948122813578,0.0620887689669601,0.897742671869115,2.46995721814692,1.61953140911388,0.962283825051202
"Group004Sample0003",0.0232909087328929,0.0195089855385276,0.0246624612198933,0.0239127296868631,0.0181939227535504,0.00190168688563898,0.0140318118913426,0.0217987713584008,0.0105844008775246,0.0287636775960746,0.0216708394533258,0.796581129880968,3.14995335800494,1.58976962398128,1.03135282098062
"Group004Sample0004",0.0150083739884674,0.0167942536525615,0.0165168514722776,0.0155653169149182,0.0185689717444538,0.000410640054493604,0.00976283815789096,0.0148935292360785,0.00734860928496313,0.018747804348961,0.0123105753223377,0.954425668327907,2.44457405591212,1.53659353786871,1.06113171755902
"Group004Sample0005",-0.00177574577276667,0.000141322838430658,-0.00153032708499678,-0.00299762154166351,-0.00437169077223578,0.000673339470206594,-3.24994016192213e-05,-0.000635675395998949,9.82872151799706e-05,7.86550784224287e-05,0.00543221836220126,0.64387373403767,0.409667130266474,2.13797801109465,0.510513773579149
